Date,Close,High,Low,Open,Volume
1/3/2023,108.0999985,118.8000031,104.6399994,118.4700012,231402800
1/4/2023,113.6399994,114.5899963,107.5199966,109.1100006,180389000
1/5/2023,110.3399963,111.75,107.1600037,110.5100021,157986300
1/6/2023,113.0599976,114.3899994,101.8099976,103,220911100
1/9/2023,119.7699966,123.5199966,117.1100006,118.9599991,190284000
1/10/2023,118.8499985,122.7600021,114.9199982,121.0699997,167642500
1/11/2023,123.2200012,125.9499969,120.5100021,122.0899963,183810800
1/12/2023,123.5599976,124.1299973,117,122.5599976,169400900
1/13/2023,122.4000015,122.6299973,115.5999985,116.5500031,180714100
1/17/2023,131.4900055,131.6999969,125.0199966,125.6999969,186477000
1/18/2023,128.7799988,136.6799927,127.0100021,136.5599976,195680300
1/19/2023,127.1699982,129.9900055,124.3099976,127.2600021,170291900
1/20/2023,133.4199982,133.5099945,127.3499985,128.6799927,138858100
1/23/2023,143.75,145.3800049,134.2700043,135.8699951,203119200
1/24/2023,143.8899994,146.5,141.1000061,143,158699100
1/25/2023,144.4299927,146.4100037,138.0700073,141.9100037,192734300
1/26/2023,160.2700043,161.4199982,154.7599945,159.9700012,234815100
1/27/2023,177.8999939,180.6799927,161.1699982,162.4299927,306590600
1/30/2023,166.6600037,179.7700043,166.5,178.0500031,230878800
1/31/2023,173.2200012,174.3000031,162.7799988,164.5700073,196813500
2/1/2023,181.4100037,183.8099976,169.9299927,173.8899994,213806300
2/2/2023,188.2700043,196.75,182.6100006,187.3300018,217448300
2/3/2023,189.9799957,199,183.6900024,183.9499969,232662000
2/6/2023,194.7599945,198.1699982,189.9199982,193.0099945,186188100
2/7/2023,196.8099976,197.5,189.5500031,196.4299927,186010300
2/8/2023,201.2899933,203,194.3099976,196.1000061,180673600
2/9/2023,207.3200073,214,204.7700043,207.7799988,215431400
2/10/2023,196.8899994,206.1999969,192.8899994,202.2299957,204754100
2/13/2023,194.6399994,196.3000031,187.6100006,194.4199982,172475500
2/14/2023,209.25,209.8200073,189.4400024,191.9400024,216455700
2/15/2023,214.2400055,214.6600037,206.1100006,211.7599945,181006400
2/16/2023,202.0399933,217.6499939,201.8399963,210.7799988,229586500
2/17/2023,208.3099976,208.4400024,197.5,199.9900055,213738500
2/21/2023,197.3699951,209.7100067,197.2200012,204.9900055,180018600
2/22/2023,200.8600006,201.9900055,191.7799988,197.9299927,191828500
2/23/2023,202.0700073,205.1399994,196.3300018,203.9100037,146360000
2/24/2023,196.8800049,197.6699982,192.8000031,196.3300018,142228100
2/27/2023,207.6300049,209.4199982,201.2599945,202.0299988,161028300
2/28/2023,205.7100067,211.2299957,203.75,210.5899963,153144900
3/1/2023,202.7700043,207.1999969,198.5200043,206.2100067,156852800
3/2/2023,190.8999939,193.75,186.0099945,186.7400055,181500700
3/3/2023,197.7899933,200.4799957,192.8800049,194.8000031,154193300
3/6/2023,193.8099976,198.6000061,192.3000031,198.5399933,128100100
